model,cv_roc_auc,valid_roc_auc,valid_average_precision,valid_precision,valid_recall,valid_brier
logistic_regression,0.859040152623219,0.8820160366552119,0.7209066317723702,0.5746606334841629,0.7559523809523809,0.13641029633697446
logistic_regression,0.859040152623219,0.8820160366552119,0.7209066317723702,0.5746606334841629,0.7559523809523809,0.13641029633697446
random_forest,0.8577760122522061,0.872545409916544,0.7183285694837306,0.6688311688311688,0.6130952380952381,0.11491451133847665
decision_tree,0.7925092539707032,0.817138152511864,0.6402994524822049,0.4728682170542636,0.7261904761904762,0.16109773426020943
